LebwohlLasher: Size: 50, Steps: 50, T*: 0.500: Order: 0.340, Time: 0.517040 s
         1003067 function calls (988177 primitive calls) in 0.967 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   256/18    0.000    0.000    0.001    0.000 ast.py:420(generic_visit)
      353    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
      434    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
      338    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      569    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      630    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:391(cached)
      210    0.000    0.000    0.000    0.000 enum.py:986(__and__)
      491    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      263    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      453    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      850    0.000    0.000    0.000    0.000 colors.py:216(_is_nth_color)
     1669    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      610    0.000    0.000    0.000    0.000 sre_compile.py:447(_simple)
        1    0.000    0.000    0.006    0.006 cm.py:32(_gen_cmap_registry)
       29    0.000    0.000    0.000    0.000 pathlib.py:438(_select_from)
     1386    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
     5258    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      210    0.000    0.000    0.007    0.000 sre_compile.py:622(_code)
       93    0.000    0.000    0.003    0.000 typing.py:483(Union)
      104    0.000    0.000    0.143    0.001 artist.py:126(__init_subclass__)
     1185    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
        3    0.000    0.000    0.018    0.006 core.py:1(<module>)
     1168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      292    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
       67    0.000    0.000    0.002    0.000 colors.py:1108(<dictcomp>)
      351    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
  383/310    0.000    0.000    0.006    0.000 typing.py:306(inner)
     2569    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      363    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
     2569    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      448    0.000    0.000    0.001    0.000 re.py:202(sub)
      603    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
       40    0.000    0.000    0.000    0.000 colors.py:1149(__init__)
      355    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
