LebwohlLasher_vectorization.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.279, Time: 0.956658 s
         1601606 function calls (1579849 primitive calls) in 5.274 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2398    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      270    0.000    0.000    0.000    0.000 cbook.py:181(__init__)
      296    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      243    0.000    0.000    0.000    0.000 inspect.py:2721(__str__)
      296    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      296    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
     5317    0.000    0.000    0.000    0.000 path.py:211(vertices)
        1    0.000    0.000    0.000    0.000 transforms.py:1763(AffineBase)
       24    0.000    0.000    0.000    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     2272    0.000    0.000    0.000    0.000 artist.py:293(axes)
     1448    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      437    0.000    0.000    0.006    0.000 artist.py:1536(number_of_parameters)
      215    0.000    0.000    0.002    0.000 transforms.py:1998(rotate_deg)
      954    0.000    0.000    0.006    0.000 artist.py:1542(is_alias)
      147    0.000    0.000    0.000    0.000 transforms.py:242(x0)
      117    0.000    0.000    0.109    0.001 artist.py:1837(kwdoc)
       34    0.000    0.000    0.000    0.000 enum.py:222(<setcomp>)
      653    0.000    0.000    0.013    0.000 inspect.py:3252(signature)
      356    0.000    0.000    0.001    0.000 inspect.py:653(_findclass)
      426    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.affine_transform}
      510    0.000    0.000    0.001    0.000 fromnumeric.py:2177(sum)
       11    0.000    0.000    0.000    0.000 linalg.py:492(inv)
     5173    0.000    0.000    0.000    0.000 path.py:254(should_simplify)
      653    0.000    0.000    0.013    0.000 inspect.py:2998(from_callable)
      426    0.000    0.000    0.001    0.000 transforms.py:1849(transform_affine)
  715/691    0.000    0.000    0.001    0.000 contextlib.py:139(__exit__)
     1997    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
      605    0.000    0.000    0.001    0.000 _inspect.py:96(getargspec)
      414    0.000    0.000    0.001    0.000 lines.py:1270(set_xdata)
      270    0.000    0.000    0.000    0.000 sre_parse.py:356(_escape)
     1130    0.000    0.000    0.000    0.000 sre_parse.py:112(__init__)
        1    0.000    0.000    0.000    0.000 helpers.py:692(<dictcomp>)
      267    0.000    0.000    0.000    0.000 __init__.py:64(check_isinstance)
      113    0.000    0.000    0.000    0.000 patches.py:734(get_path)
      227    0.000    0.000    0.003    0.000 fromnumeric.py:200(reshape)
     5173    0.000    0.000    0.000    0.000 path.py:242(simplify_threshold)
     5217    0.000    0.000    0.000    0.000 path.py:223(codes)
    192/2    0.000    0.000    0.081    0.040 artist.py:54(draw_wrapper)
      120    0.000    0.000    0.000    0.000 artist.py:1155(update_from)
       70    0.000    0.000    0.001    0.000 deprecation.py:128(deprecate)
      224    0.000    0.000    0.002    0.000 transforms.py:2255(get_affine)
        4    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.update_path_extents}
      368    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
     2736    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      513    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
     2223    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      612    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      409    0.000    0.000    0.002    0.000 rcsetup.py:307(validate_color)
      317    0.000    0.000    0.002    0.000 function_base.py:497(add_newdoc)
      414    0.000    0.000    0.001    0.000 lines.py:1291(set_ydata)
     1434    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
        8    0.000    0.000    0.000    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
      409    0.000    0.000    0.002    0.000 core.py:499(copy)
       54    0.000    0.000    0.007    0.000 text.py:915(get_window_extent)
  715/691    0.000    0.000    0.003    0.000 contextlib.py:130(__enter__)
      103    0.000    0.000    0.000    0.000 backend_bases.py:2909(_update_cursor)
      210    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      118    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      359    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
        4    0.000    0.000    0.000    0.000 {method 'sort' of 'numpy.ndarray' objects}
      103    0.000    0.000    0.005    0.000 backend_bases.py:2948(_mouse_event_to_message)
      210    0.000    0.000    0.000    0.000 enum.py:986(__and__)
      704    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      306    0.000    0.000    0.000    0.000 results.py:136(__new__)
      432    0.000    0.000    0.001    0.000 artist.py:269(convert_xunits)
     1294    0.000    0.000    0.000    0.000 __init__.py:670(_set)
      953    0.000    0.000    0.000    0.000 fromnumeric.py:72(<dictcomp>)
     1434    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      768    0.000    0.000    0.000    0.000 copy.py:243(_keep_alive)
  152/144    0.000    0.000    0.000    0.000 spines.py:339(get_spine_transform)
      368    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      344    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
       12    0.000    0.000    0.026    0.002 axis.py:1270(_update_ticks)
   256/18    0.000    0.000    0.001    0.000 ast.py:420(generic_visit)
      778    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
