LebwohlLasher_numba.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.404, Time: 1.487729 s
         2898209 function calls (2814732 primitive calls) in 3.517 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      158    0.001    0.000    0.003    0.000 lowering.py:404(<listcomp>)
       28    0.001    0.000    0.003    0.000 util.py:182(_collapse_string_to_ranges)
     2042    0.001    0.000    0.003    0.000 contextlib.py:279(helper)
      195    0.001    0.000    0.001    0.000 colors.py:1110(<listcomp>)
      586    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
     1902    0.001    0.000    0.001    0.000 utils.py:467(__setitem__)
     1180    0.001    0.000    0.011    0.000 initialise.py:111(wrap_stream)
     6378    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     1973    0.001    0.000    0.002    0.000 values.py:564(_get_reference)
      646    0.001    0.000    0.004    0.000 pathlib.py:569(_parse_args)
      269    0.001    0.000    0.008    0.000 sre_compile.py:560(_compile_info)
     1003    0.001    0.000    0.005    0.000 base.py:103(_match_arglist)
      704    0.001    0.000    0.002    0.000 numpy_support.py:125(as_dtype)
        1    0.001    0.001    0.002    0.002 polynomial.py:453(polyfit)
      269    0.001    0.000    0.056    0.000 sre_compile.py:783(compile)
     1555    0.001    0.000    0.002    0.000 context.py:469(_insert_global)
     3012    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
2301/2284    0.001    0.000    0.003    0.000 {built-in method builtins.any}
     1985    0.001    0.000    0.001    0.000 builder.py:351(_insert)
     3006    0.001    0.000    0.016    0.000 ir.py:598(list_vars)
 1039/991    0.001    0.000    0.002    0.000 values.py:445(__init__)
     3528    0.001    0.000    0.001    0.000 sre_parse.py:173(append)
     3652    0.001    0.000    0.001    0.000 inspect.py:2969(<genexpr>)
        4    0.001    0.000    0.001    0.000 {method 'readline' of '_io.BufferedReader' objects}
     1976    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
      940    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
